DATAFLOW,FREQ,SPECIFICATION,TIME_PERIOD,OBS_VALUE,NOTE_YEAR_2,NOTE_YEAR_1,NOTE_SPECIFICATION_2,NOTE_SPECIFICATION_1,OBS_STATUS,DECIMALS
LU1:DF_D2121(1.0),A,SL01,2003,14987,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2004,16180,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2005,14874,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2006,16429,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2007,17789,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2008,18227,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2009,21159,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2010,20714,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2011,23648,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2012,24230,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2013,26621,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2014,27438,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2015,27738,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2016,26030,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2017,35590,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2018,35110,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2019,37300,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2020,46500,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2021,47290,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2022,42720,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2023,42540,,,,spec,,0
LU1:DF_D2121(1.0),A,SL01,2024,48180,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2003,15355,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2004,15449,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2005,13908,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2006,15682,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2007,17528,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2008,17267,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2009,20000,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2010,19930,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2011,23648,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2012,22515,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2013,26621,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2014,25108,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2015,27764,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2016,25535,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2017,34420,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2018,34245,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2019,34550,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2020,46205,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2021,45990,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2022,43320,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2023,38280,,,,spec,,0
LU1:DF_D2121(1.0),A,SL03,2024,48455,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2003,15959,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2004,15160,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2005,12070,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2006,14492,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2007,17353,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2008,15008,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2009,18349,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2010,17788,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2011,23474,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2012,22280,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2013,26560,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2014,21244,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2015,27769,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2016,25100,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2017,32800,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2018,34080,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2019,29615,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2020,44570,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2021,41930,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2022,46305,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2023,32590,,,,spec,,0
LU1:DF_D2121(1.0),A,SL02,2024,48700,,,,spec,,0
