COMMUNE_CODE,COMMUNE_NOM,FEMMES_MINEURES,HOMMES_MINEURS,FEMMES_MAJEURES,HOMMES_MAJEURS
1101,Beaufort,309,303,1270,1264
1102,Bech,101,132,561,572
0802,Beckerich,278,286,1179,1178
1103,Berdorf,223,242,907,927
0401,Bertrange,873,963,3994,3860
0301,Bettembourg,1074,1190,4848,4606
0702,Bettendorf,255,292,1212,1291
1201,Betzdorf,395,490,1680,1623
0502,Bissen,352,322,1468,1444
1202,Biwer,205,202,721,784
0901,Boulaide,155,172,621,612
0703,Bourscheid,162,164,694,768
1311,Bous-Waldbredimus,342,354,1295,1353
0611,Clervaux,602,704,2583,2498
0501,Colmar-Berg,241,280,1035,962
1104,Consdorf,193,239,833,838
0402,Contern,542,545,2032,1912
1302,Dalheim,207,241,951,997
0704,Diekirch,546,585,3113,3132
0302,Differdange,3224,3522,12319,12257
0203,Dippach,415,458,1987,1921
0303,Dudelange,2047,2058,9272,9021
1105,Echternach,495,539,2557,2426
0805,Ell,136,165,687,690
0706,Erpeldange-sur-Sûre,242,254,1145,1100
0304,Esch-sur-Alzette,3530,3735,15497,15561
0915,Esch-sur-Sûre,341,356,1344,1354
0707,Ettelbruck,905,900,4185,4155
0708,Feulen,244,275,953,973
0504,Fischbach,135,170,531,530
1203,Flaxweiler,242,211,888,934
0305,Frisange,487,454,2065,2061
0204,Garnich,275,272,988,962
0904,Goesdorf,162,158,668,700
1204,Grevenmacher,479,491,2218,2124
0814,Groussbus-Wal,266,252,941,928
0213,Habscht,487,499,2104,2217
0505,Heffingen,184,176,638,622
0512,Helperknapp,592,631,2050,2071
0403,Hesperange,1680,1764,7064,6790
1205,Junglinster,1002,997,3760,3494
0212,Käerjeng,1003,1040,4811,4552
0306,Kayl,960,964,4136,3922
0206,Kehlen,830,828,3062,2905
0914,Kiischpelt,119,158,519,504
0207,Koerich,257,281,1099,1149
0208,Kopstal,483,482,1931,1847
0905,Lac de la Haute-Sûre,231,263,897,986
0506,Larochette,221,185,910,914
1303,Lenningen,199,177,890,834
0307,Leudelange,240,294,1121,1114
0507,Lintgen,329,305,1397,1443
0508,Lorentzweiler,466,501,1954,1851
0001,Luxembourg,9910,10212,56957,61136
0209,Mamer,1318,1354,4677,4351
1206,Manternach,241,239,936,914
0509,Mersch,1042,1095,4361,4418
1207,Mertert,528,507,2374,2365
0711,Mertzig,233,286,956,945
0308,Mondercange,605,632,3048,3030
1304,Mondorf-les-Bains,421,435,2455,2251
0404,Niederanven,678,743,3003,2754
0510,Nommern,167,126,592,616
0309,Pétange,2150,2275,8599,8373
0612,Parc Hosingen,468,534,1708,1784
0803,Préizerdaul,169,163,747,724
1002,Putscheid,128,138,461,472
0806,Rambrouch,499,525,1971,2114
0310,Reckange-sur-Mess,295,287,1252,1198
0809,Redange/Attert,280,283,1351,1256
0712,Reisdorf,162,157,567,567
1306,Remich,351,348,1780,1698
0311,Roeser,669,709,2927,2888
1109,Rosport-Mompach,375,396,1529,1524
0312,Rumelange,560,609,2298,2276
0810,Saeul,133,114,417,404
0405,Sandweiler,402,402,1568,1483
0313,Sanem,1829,2010,8043,7806
1310,Schengen,482,482,2139,2162
0713,Schieren,174,248,920,868
0314,Schifflange,1050,1210,4849,4682
0406,Schuttrange,446,477,1758,1774
1307,Stadtbredimus,181,158,837,844
0211,Steinfort,562,547,2530,2514
0407,Steinsel,615,634,2632,2447
0408,Strassen,1073,1105,4566,4254
1004,Tandel,256,260,924,930
0609,Troisvierges,386,373,1429,1521
0811,Useldange,217,236,850,865
0714,Vallée de l'Ernz,316,295,1158,1192
1003,Vianden,208,197,932,923
0812,Vichten,167,148,569,563
1108,Waldbillig,207,227,773,783
0409,Walferdange,883,972,3857,3583
0410,Weiler-la-Tour,235,268,1015,1010
0610,Weiswampach,264,242,1055,1185
0916,Wiltz,935,1104,3287,3273
0601,Wincrange,513,556,1927,2027
0913,Winseler,129,124,637,718
1209,Wormeldange,316,311,1334,1310
